id,roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
1,2015,20,A.,Mickey Watson,Freshman,Back,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2192,Y,
2,2016,20,A.,Mickey Watson,Sophomore,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2172,Y,
3,2017,5,A.,Mickey Watson,Junior,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2133,Y,First Team
4,2018,5,A.,Mickey Watson,Senior,Defender,5'10,180,Berwyn,PA,South Kent School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=6416,N,
5,2010,24,Aaron,Baldwin,Freshman,Midfielder,5'10,165,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=5402&path=msoc,,
6,2011,19,Aaron,Baldwin,Sophomore,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=3885&path=msoc,,
7,2012,19,Aaron,Baldwin,Junior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=2004&path=msoc,,
8,2013,19,Aaron,Baldwin,Junior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=3190&path=msoc,N,
9,2014,19,Aaron,Baldwin,Senior,Midfielder,5'10,175,Takoma Park,MD,Montgomery Blair,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=1101&path=msoc,N,
10,2012,22,Aaron,Chen,Freshman,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2249,N,
11,2013,22,Aaron,Chen,Sophomore,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2294,N,
12,2014,22,Aaron,Chen,Junior,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=2270,N,
13,2015,22,Aaron,Chen,Senior,Back,6'1,170,Mansfield,CT,Edwin O. Smith High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=4283,Y,
14,2011,10,Aaron,Dennis,Freshman,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2545,Y,
15,2012,10,Aaron,Dennis,Sophomore,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2519,Y,
16,2013,10,Aaron,Dennis,Junior,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2492,Y,
17,2014,9,Aaron,Dennis,Senior,Forward,6'2,175,Elmont,NY,Elmont Memorial High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2467,Y,
18,2010,29,Aaron,Dupere,Freshman,Goalkeeper,5'11,175,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5474,Y,
19,2011,29,Aaron,Dupere,Sophomore,Goalkeeper,5'11,180,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5448,Y,
20,2012,0,Aaron,Dupere,Junior,Goalkeeper,5'11,180,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5394,N,
21,2013,1,Aaron,Dupere,Senior,Goalkeeper,5'10,175,Royal Palm Beach,FL,Wellington,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5367,N,
22,2006,15,Aaron,Eshkenazi,Freshman,Defender,6'2,190,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3611,,
23,2008,15,Aaron,Eshkenazi,Junior,Defender,6'3,195,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3598,,
24,2009,15,Aaron,Eshkenazi,Senior,Defender,6'3,195,Coral Springs,FL,Douglas High School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3575,,
25,2007,4,Aaron,Gaide,Freshman,Midfielder,5'10,,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=4250,N,
26,2008,4,Aaron,Gaide,Sophomore,Midfielder,5'10,,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=5186,Y,
27,2009,4,Aaron,Gaide,Junior,Midfielder,5'10,155,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=6427,N,
28,2010,4,Aaron,Gaide,Senior,Midfielder,5'10,155,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=7175,Y,
29,2011,7,Aaron,Gaide,Redshirt,Midfielder,5'10,155,Avon,CT,Avon High School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=7905,Y,
30,2007,3,Aaron,Gildner,Freshman,Midfielder,5'9,,Slatington,PA,,Parkland,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4257,Y,
31,2012,11,Aaron,Kovar,Freshman,Midfielder,5'10,155,Seattle,WA,Garfield,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6603,,Second Team
32,2013,11,Aaron,Kovar,Sophomore,Midfielder,5'10,155,Seattle,WA,Garfield,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6782,,Honorable Mention
33,2008,2,Aaron,Maund,Freshman,Midfielder,6'1,175,Dorchester,MA,The Roxbury Latin School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=5008,Y,
34,2009,2,Aaron,Maund,Sophomore,Defender,6'1,185,Dorchester,MA,The Roxbury Latin School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4976,Y,
35,2010,2,Aaron,Maund,Junior,Defender,6'1,185,Dorchester,MA,The Roxbury Latin School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4947,Y,
36,2011,2,Aaron,Maund,Senior,Defender,6'1,185,Dorchester,MA,The Roxbury Latin School,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4919,Y,
37,2011,24,Aaron,Mentos,Freshman,Forward,6'3,178,Amherst,MA,Amherst Regional High School,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=4034,,
38,2012,24,Aaron,Mentos,Sophomore,Forward,6'3,178,Amherst,MA,Amherst Regional High School,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=4760,N,
39,2010,23,Aaron,Oder,Freshman,Midfielder,5'11,150,Pfafftown,NC,Reagan,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=13873&path=msoccer,,
40,2011,4,Aaron,Oder,Sophomore,Midfielder,5'11,150,Pfafftown,NC,Reagan,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=22284&path=msoccer,N,
41,2012,4,Aaron,Oder,Junior,Midfielder,5'11,150,Pfafftown,NC,Reagan,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=30047&path=msoccer,,
42,2007,16,Aaron,O'Neal,Freshman,Forward,6'0,160,Virginia Beach,VA,Kellam,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3260,Y,
43,2008,16,Aaron,O'Neal,Sophomore,Forward,6'0,160,Virginia Beach,VA,Kellam,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3230,Y,
44,2009,16,Aaron,O'Neal,Junior,Forward,6'0,160,Virginia Beach,VA,Kellam,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3201,Y,
45,2010,9,Aaron,O'Neal,Senior,Forward,6'0,160,Virginia Beach,VA,Kellam,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3166,Y,
46,2011,14,Aaron,Rilling,Sophomore,Back,5'7,148,Bethesda,MD,The Field School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2293,,
47,2012,14,Aaron,Rilling,Junior,Back,5'7,148,Bethesda,MD,The Field School,,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2267,,
48,2008,19,Aaron,Rosenberg,Freshman,Back,5'9,158,West Bloomfield,MI,Walled Lake Northern,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3233,N,
49,2007,6,Aaron,Ross,Freshman,Midfielder,6'0,,Woodcliff Lake,NJ,Dwight-Englewood High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=7283,,
50,2008,6,Aaron,Ross,Sophomore,Midfielder,6'0,,Woodcliff Lake,NJ,Dwight-Englewood High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=7259,,
51,2009,6,Aaron,Ross,Junior,Midfielder,6'0,,Woodcliff Lake,NJ,Dwight-Englewood High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=7240,,
52,2010,6,Aaron,Ross,Senior,Midfielder,6'0,,Woodcliff Lake,NJ,Dwight-Englewood High School,,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=8695,Y,
53,2017,25,Aaron,Schwartz,Freshman,Goalkeeper,5'10,145,Berwyn,PA,YSC Academy,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=11258,,
54,2018,25,Aaron,Schwartz,Sophomore,Goalkeeper,5'10,145,Berwyn,PA,YSC Academy,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=15779,,
55,2011,14,Aaron,Simmons,Freshman,Midfielder,6'0,157,Mansfield,TX,Mansfield,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2637,,
56,2012,14,Aaron,Simmons,Sophomore,Defender,6'0,166,Mansfield,TX,Mansfield,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2611,,Second Team
57,2017,11,Aaron,Uribe,Freshman,Midfielder,6'1,160,San Diego,CA,Patriot,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3323,N,
58,2018,11,Aaron,Uribe,,,6'1,174,San Diego,CA,Patriot,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=7370,N,
59,2006,22,Aaron,Vaslow,Freshman,Midfielder,5'11,155,Bethesda,MD,,Bethesda Chevy-Chase,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=3158,N,
60,2007,22,Aaron,Vaslow,Sophomore,Midfielder,5'11,155,Bethesda,MD,,Bethesda Chevy-Chase,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4208,N,
61,2015,9,Abdel,Sanogo,Freshman,Forward,6'2,190,Plano,TX,Plano West,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=7018,N,
62,2016,9,Abdel,Sanogo,Sophomore,Forward,6'2,200,Plano,TX,Plano West,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=7875,N,
63,2017,9,Abdel,Sanogo,Junior,Forward,6'2,195,Plano,TX,Plano West,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=8663,N,
64,2018,9,Abdel,Sanogo,Senior,Forward,6'3,200,Plano,TX,Plano West,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=9189,N,
65,2013,27,Abdul,Yassine,Freshman,Forward,5'9,165,Garland,TX,Brighter Horizon High Schools Academy,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2587,,
66,2014,27,Abdul,Yassine,Freshman,Forward,5'9,165,Garland,TX,Brighter Horizon High Schools Academy,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2554,,
67,2015,27,Abdul,Yassine,Sophomore,Forward,5'9,165,Garland,TX,Brighter Horizon High Schools Academy,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=2526,,
68,2016,27,Abdul,Yassine,Junior,Forward,5'9,165,Garland,TX,Brighter Horizon High Schools Academy,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=4265,,
69,2017,27,Abdul,Yassine,Senior,Forward,5'9,165,Garland,TX,Brighter Horizon High Schools Academy,,SMU,AMERICAN ATHLETIC,https://smumustangs.com/roster.aspx?rp_id=4815,,
70,2015,14,Abe,Bibas,Freshman,Defender,6'0,175,Sunny Isles Beach,FL,,,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=137,Y,
71,2016,14,Abe,Bibas,Sophomore,Defender,6'0,175,Sunny Isles Beach,FL,,Weston FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8661,Y,
72,2017,14,Abe,Bibas,Junior,Back,6'0,175,Sunny Isles Beach,FL,,Weston FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9579,N,
73,2018,14,Abe,Bibas,Senior,Back,6'0,175,Sunny Isles Beach,FL,,Weston FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10341,Y,
74,2012,18,Abinadi,Samayoa,Freshman,Forward,5'10,165,Kaysville,UT,USAFA Prep School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3502,,
75,2015,10,Abinadi,Samayoa,Sophomore,Forward,5'10,165,Kaysville,UT,USAFA Prep School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3400,,
76,2016,10,Abinadi,Samayoa,Junior,Forward,5'10,165,Kaysville,UT,USAFA Prep School,,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3362,N,
77,2016,4,Achara,NULL,Freshman,Forward,5'10,158,Enugu,Nigeria,Berkshire School,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4229,,
78,2017,20,Achara,NULL,Sophomore,Forward,5'10,158,Enugu,Nigeria,Berkshire School,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4217,,
79,2018,20,Achara,NULL,Junior,Forward,5'10,161,Enugu,Nigeria,Berkshire School,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=8667,,
80,2014,12,Ackim,Mpofu,Freshman,Forward,5'8,156,Bulawayo,Zimbabwe,Cushing Academy,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=3063,Y,
81,2015,12,Ackim,Mpofu,Sophomore,Midfielder,5'8,166,Bulawayo,Zimbabwe,Cushing Academy,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=3668,Y,Third Team
82,2016,12,Ackim,Mpofu,Junior,Midfielder,5'8,166,Bulawayo,Zimbabwe,Cushing Academy,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=4104,Y,Third Team
83,2017,12,Ackim,Mpofu,Senior,Midfielder,5'8,170,Bulawayo,Zimbabwe,Cushing Academy,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=4672,,
84,2008,2,Adam,Allers,Freshman,Midfielder,5'11,165,Exton,PA,Downingtown High School East,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3369,N,
85,2009,2,Adam,Allers,Sophomore,Midfielder,5'11,165,Exton,PA,Downington High School East,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3344,N,
86,2007,15,Adam,Amann,Sophomore,Defender,6'1,180,Ipswich,MA,Ipswich,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2642,N,
87,2008,15,Adam,Amann,Junior,Defender,6'3,185,Ipswich,MA,Ipswich,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2615,N,
88,2009,15,Adam,Amann,Senior,Defender,6'1,180,Ipswich,MA,Ipswich,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2589,N,
89,2013,7,Adam,Bradshaw,Freshman,Defender,5'9,165,Waterloo,Ontario,Sir John A. Macdonald Secondary,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=1169,,
90,2014,7,Adam,Bradshaw,Sophomore,Defender,5'9,165,Waterloo,Ontario,Sir John A. Macdonald Secondary,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=1620,,
91,2015,7,Adam,Bradshaw,Junior,Defender,5'9,165,Waterloo,Ontario,Sir John A. Macdonald Secondary,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=1918,,
92,2016,7,Adam,Bradshaw,Senior,Defender,5'9,165,Waterloo,Ontario,Sir John A. Macdonald Secondary,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=2080,,
93,2016,26,Adam,Bramson,Freshman,Midfielder,6'1,162,Dover,MA,Milton Academy,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3175,Y,
94,2017,26,Adam,Bramson,Sophomore,Midfielder,6'1,162,Dover,MA,Milton Academy,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3147,Y,
95,2018,26,Adam,Bramson,Junior,Midfielder,6'1,162,Dover,MA,Milton Academy,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3121,N,
96,2009,27,Adam,Brownstein,Freshman,Goalkeeper,5'11,185,Menlo Park,CA,Menlo Atherton,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2009-10/bios/abaie_zach,,
97,2007,8,Adam,Costello,Freshman,Midfielder,5'11,155,Saratoga Springs,NY,Saratoga Springs,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=1034,N,
98,2008,8,Adam,Costello,Sophomore,Midfielder,5'11,155,Saratoga Springs,NY,Saratoga Springs,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=1623,N,
99,2009,8,Adam,Costello,Junior,Midfielder,5'11,155,Saratoga Springs,NY,Saratoga Springs,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=2409,Y,
100,2010,8,Adam,Costello,Senior,Midfielder,5'11,155,Saratoga Springs,NY,Saratoga Springs,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=3212,Y,First Team
101,2013,21,Adam,Crenshaw,Freshman,Back,6'0,150,Sterling,VA,Dominion High School,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=3196&path=msoc,,
102,2014,21,Adam,Crenshaw,Freshman,Back,6'0,150,Sterling,VA,Dominion High School,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=1112&path=msoc,Y,
103,2015,21,Adam,Crenshaw,Sophomore,Back,6'0,150,Sterling,VA,Dominion High School,,College of William & Mary,COLONIAL ATHLETIC ASSOCIATION,https://tribeathletics.com/roster.aspx?rp_id=5314&path=msoc,N,
104,2016,28,Adam,French,Freshman,Forward,6'1,178,Westborough,MA,,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8685,N,
105,2017,28,Adam,French,Sophomore,Forward,6'1,180,Westborough,MA,,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9601,N,
106,2018,28,Adam,French,Junior,Forward,6'1,180,Westborough,MA,,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=10321,,
107,2009,6,Adam,Gazda,Senior,Midfielder,5'9,160,Carnegie,PA,,Chartiers Valley,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=5549,Y,First Team
108,2015,18,Adam,Gibbs,Freshman,Midfielder,5'11,165,Westborough,MA,Westborough,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=3682,,
109,2016,18,Adam,Gibbs,Freshman,Midfielder,5'11,190,Westborough,MA,Westborough,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=4110,N,
110,2017,30,Adam,Gostomelsky,Freshman,Goalkeeper,6'0,185,Carmel,IN,Carmel High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=4840,,
111,2018,0,Adam,Gostomelsky,Sophomore,Goalkeeper,6'0,185,Carmel,IN,Carmel High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5166,N,
112,2007,22,Adam,Hardie,Freshman,Defender,6'1,165,Lansing,NY,Lansing,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=7439&path=msoccer,,
113,2008,22,Adam,Hardie,Sophomore,Defender,6'1,165,Lansing,NY,Lansing,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=10322&path=msoccer,,
114,2009,22,Adam,Hardie,Junior,Defender,6'1,165,Lansing,NY,Lansing,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=11386&path=msoccer,,
115,2010,22,Adam,Hardie,Senior,Defender,6'1,165,Lansing,NY,Lansing,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=13845&path=msoccer,,
116,2008,12,Adam,Horecki,Freshman,Defender,6'1,180,Littleton,CO,J.K. Mullen,,Army West Point,PATRIOT,https://goarmywestpoint.com/roster.aspx?rp_id=3029&path=msoc,,
117,2011,12,Adam,Jahn,Junior,Forward,6'3,185,El Macero,CA,Jesuit,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6376,,Second Team
118,2012,9,Adam,Jahn,Senior,Forward,6'3,185,El Macero,CA,Jesuit,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6601,,First Team
119,2018,12,Adam,Kulick,Freshman,Midfielder,5'8,145,Cambridge,MA,Milton Academy,,Bucknell University,PATRIOT,https://bucknellbison.com/roster.aspx?rp_id=4506,N,
120,2010,0,Adam,LaPlaca,Freshman,Goalkeeper,5'9,170,Glastonbury,CT,Glastonbury,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4945,,
121,2011,0,Adam,LaPlaca,Sophomore,Goalkeeper,5'9,170,Glastonbury,CT,Glastonbury,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4917,,
122,2012,0,Adam,LaPlaca,Junior,Goalkeeper,5'9,170,Glastonbury,CT,Glastonbury,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4886,N,
123,2013,0,Adam,LaPlaca,Senior,Goalkeeper,5'9,170,Glastonbury,CT,Glastonbury,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4862,,
124,2016,0,Adam,Masters,Freshman,Goalkeeper,6'0,175,Evanston,IL,Evanston Township High School,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=42633&path=msoccer,,
125,2008,25,Adam,Mena,Freshman,Midfielder,5'10,145,Holland,MI,West Ottawa,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=5010,,
126,2009,14,Adam,Mena,Sophomore,Midfielder,5'10,145,Holland,MI,West Ottawa,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4978,N,
127,2010,19,Adam,Mena,Junior,Midfielder,5'10,145,Holland,MI,West Ottawa,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4949,N,
128,2011,11,Adam,Mena,Senior,Midfielder,5'10,145,Holland,MI,West Ottawa,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4921,Y,
129,2012,11,Adam,Mena,Senior,Midfielder,5'10,145,Holland,MI,West Ottawa,,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4889,N,
130,2014,26,Adam,Mosharrafa,Freshman,Defender,6'2,160,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=6921,,
131,2015,26,Adam,Mosharrafa,Freshman,Defender,6'2,160,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=7023,N,
132,2016,16,Adam,Mosharrafa,Sophomore,Defender,6'2,160,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=7051,Y,
133,2017,6,Adam,Mosharrafa,Junior,Defender,6'2,160,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=11635,Y,
134,2018,6,Adam,Mosharrafa,Senior,Defender,6'2,175,Paradise Valley,AZ,Brophy College Preparatory,,Stanford University,PAC-12,https://gostanford.com/roster.aspx?rp_id=14114,Y,
135,2008,14,Adam,Rice,Freshman,Midfielder,5'11,165,Manalapan,NJ,Manalapan,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=5305,N,
136,2009,14,Adam,Rice,Sophomore,Midfielder,5'11,165,Manalapan,NJ,Manalapan,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=6465,Y,
137,2010,14,Adam,Rice,Junior,Midfielder,5'11,165,Manalapan,NJ,Manalapan,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=7192,Y,
138,2011,14,Adam,Rice,Senior,Midfielder,5'11,165,Manalapan,NJ,Manalapan,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=7924,Y,
139,2007,8,Adam,Rousmaniere,Sophomore,Midfielder,6'0,160,Andover,MA,Brooks School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2007-08/bios/Rousmaniere_Adam,N,
140,2008,8,Adam,Rousmaniere,Junior,Midfielder,6'0,160,Andover,MA,Brooks School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2008-09/bios/Rousmaniere_Adam,Y,
141,2009,8,Adam,Rousmaniere,Senior,Midfielder,6'0,160,Andover,MA,Brooks School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2009-10/bios/rousmaniere_adam,Y,
142,2011,18,Adam,Santoro,Sophomore,Midfielder,6'1,198,Egg Harbor Township,NJ,Egg Harbor Township High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2558,,
143,2012,18,Adam,Santoro,Sophomore,Midfielder,6'1,198,Egg Harbor Township,NJ,Egg Harbor Township High School,,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2530,,
144,2014,22,Adam,Sheikali,Freshman,Midfielder,6'1,170,Atlanta,GA,McIntosh,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3061,N,
